id,username,password,email,phone,birthday,create_datetime,is_admin,buddy_id
95095513189,Bonnee,wK2/&}(Bv,babramcik0@pcworld.com,940-319-9232,11/26/1924,1940-03-23T11:50:31Z,false,70260874789
1670173133,Hyatt,"zB6""<sB\B!",hvaines1@friendfeed.com,480-773-3470,3/4/2014,1922-03-30T08:09:44Z,true,2286346433
79068417641,Emanuel,rB3@J*{O9n1uHP+\,eglidden2@cbslocal.com,436-583-3012,7/25/1946,2050-08-02T10:27:35Z,false,73565283300
18472748512,Minda,rW7/ng#r{2iJaul,mjelleman3@geocities.jp,626-543-0543,11/28/2069,1949-02-23T17:41:27Z,true,50750238111
72762121346,Rossy,oQ6|QT%PYo4MM'Vr,rpetrelluzzi4@vk.com,687-393-4519,8/30/2027,2069-09-17T13:02:04Z,false,90286301865
4175247809,Josee,xW7\9zYZ?,jdalwood5@ft.com,717-708-0636,10/9/2038,2011-03-22T05:32:13Z,true,87885594143
23094822431,Coriss,eO9}VB4a?Z2,cmacswayde6@bbb.org,590-873-4393,12/14/2050,1961-07-14T01:09:34Z,true,85968793181
81092426425,Jedd,"wE6#1?Hb,#luo",jdilliway7@typepad.com,220-410-6772,1/24/1905,1945-07-15T04:33:51Z,false,57653551621
96164593301,Caroline,bI8>WSE\AaPw5,cdawidowsky8@ted.com,932-357-6248,9/21/1932,2091-11-26T19:53:29Z,false,87462672793
20862423633,Garrick,"vJ3%Dzz,gGd)",gcastagnasso9@netvibes.com,356-225-2959,2/19/1934,1961-06-11T00:28:55Z,true,93402880154
26474075907,Salome,tV7>=%02PT,sdourisa@ucsd.edu,636-258-2108,10/11/1922,1962-04-17T23:28:17Z,true,60097208524
70471878787,Gerald,aX7{8V&R+f3,gforlongeb@google.com.br,535-438-3730,8/8/1950,2091-10-03T17:32:26Z,true,53846354639
339381048,Morgen,fF2<jW7\,mmazzillic@jiathis.com,943-317-6696,6/14/1907,1965-02-19T11:27:33Z,false,40340585832
43025018916,Willie,uL5<F_xX,wplinckd@blogger.com,976-791-8743,1/12/2002,1907-03-12T11:46:10Z,true,61645095613
50409866449,Allyn,iK0={tDIR4Oe>_*t,agreenstreete@berkeley.edu,197-978-0944,9/9/1977,1908-07-05T14:57:50Z,false,49398033446
32491272342,Julius,xW8*4kR14n9.A),jhaylorf@simplemachines.org,573-217-0418,7/5/2041,2004-03-29T11:36:16Z,true,26727943185
93615523414,Giralda,nS8@@Mv<Q('kt,gdaveyg@epa.gov,967-397-9937,4/18/1987,1964-11-05T06:08:21Z,true,66640674192
426813864,Chaunce,"jV9#""NO2}g5U\Y+",cgrouvelh@cloudflare.com,513-370-3091,11/6/2099,1900-04-02T22:52:21Z,true,23713786604
19174737475,Birgit,tI4*bU1)5_}j!}7,blonghornei@jigsy.com,517-572-5655,1/13/2023,2051-09-21T11:44:33Z,true,5721682674
63692746321,Adelind,qQ4{{D34,amurtyj@umn.edu,500-587-9518,2/7/2081,1968-06-22T15:35:24Z,true,48690861171
29336042334,Wilma,gB3@wjm!e7C,wvirgink@cornell.edu,100-806-6900,2/23/1957,2057-10-04T10:52:59Z,false,52489895284
59650273490,Norri,"yJ4,\%blW{_sGbI",nculpinl@latimes.com,318-276-0114,4/2/2059,1984-03-21T17:29:56Z,true,14424877571
77566740900,Alicea,"hS0#r=wx#%n50Y,)",aklulicekm@ihg.com,604-235-9520,7/11/2030,1979-11-21T22:16:59Z,true,23819656946
6315661747,Marven,"vB6,U$LOFo%i",mtreadgern@shutterfly.com,564-183-6126,8/13/1978,1917-03-03T18:13:45Z,false,68009665081
6647897419,Kalie,jM5`F'.rpXqL7$,kjarviso@pen.io,209-330-5580,4/29/2019,2065-04-30T07:06:58Z,true,65369544307
78866940156,Curt,sM6}z1#V,cbrozekp@issuu.com,308-487-4290,5/25/2083,2008-05-18T10:47:10Z,false,27046037903
33529545940,Bondon,zV2/<Z)9ib9J1|@,bjorgq@ft.com,821-671-5182,11/2/2001,2025-06-10T21:01:02Z,true,9873928266
71408579437,Jozef,zM8'J0MuAo`_mz&1,jartoisr@sitemeter.com,934-295-5485,12/23/2018,2081-07-05T22:23:36Z,false,709453782
37832917996,Georgina,"gI3~o_X5.l,=/6ZU",gcuddehays@ucla.edu,619-482-5292,11/18/2028,1904-02-16T18:45:56Z,false,24172338261
21730737897,Lenci,jL5=A$Iq16&,ldurbannt@furl.net,232-853-8845,2/9/2045,1978-07-07T09:35:20Z,false,67585232239
69142205352,Gwenneth,"jA2,%0nlx`MH",gjoyceu@studiopress.com,396-382-3241,8/3/1969,1901-08-25T06:55:51Z,false,8426459465
27916040081,Katharyn,"cN0!g#KjsYe5A""",kkinastanv@umn.edu,480-241-2741,2/5/1944,1987-04-28T01:37:27Z,true,80549295167
8024357803,Moselle,xC0<0?tfQ~u,mmongenotw@mapy.cz,334-383-8471,10/12/2045,2061-10-25T19:08:33Z,false,45744624487
90954086608,Marinna,"oC3""hj1%c",msavillx@technorati.com,541-808-3124,6/1/1911,1935-04-19T21:19:33Z,true,13636140627
3392639486,Tressa,cZ4.4dCrN,tbrabeny@networkadvertising.org,476-178-6122,9/14/1968,1957-01-04T07:42:28Z,false,60261723962
43184902826,Sybyl,"mJ0!Va<_lks,hEC|",sdalessandroz@rediff.com,840-734-9248,7/23/2006,1972-05-04T04:11:17Z,false,58847800505
80993717479,Terrance,"uV6{kf""5nh",tanker10@msu.edu,948-330-5921,5/16/1905,1980-09-03T05:30:59Z,false,5560558422
19631867335,Anjanette,eU6</)rH3ao}5um*,ahorrigan11@bing.com,510-422-9846,11/10/1928,1912-02-05T20:11:53Z,false,66873014186
43278187563,Shepperd,rQ2@rI.<4a=,ssimnor12@miibeian.gov.cn,818-429-3000,4/11/2027,2073-01-21T06:20:04Z,false,50611793721
1645114111,Esta,xX7*l/SP4HQ`+F!p,eraper13@slashdot.org,236-553-6003,1/1/2063,2021-04-16T06:30:57Z,false,4411400571
40338620580,Valida,qP0(u>Z*%,vswettenham14@webeden.co.uk,712-342-3643,7/17/1948,1995-09-29T20:41:02Z,true,48399963442
32679184386,Maurene,xS4?}bi$$N0(DA,mingleson15@google.com.hk,688-520-8673,3/21/2073,2043-09-11T10:00:03Z,false,32001290251
35690904178,Madelin,gV4/&H+#&$9~*,mcrewther16@gizmodo.com,706-110-9579,6/8/1939,2081-08-26T02:36:29Z,false,17447696391
87820565238,Averil,gL0$VO$u,asmitheman17@cornell.edu,162-103-5946,12/21/1966,2077-04-11T21:37:36Z,false,13093634721
